film_key,review_clean
Inception (2010),"Still my favourite of Nolan's work, for now, but that's a lot to do with the fact that I'm just totally fascinated by dreams and the logic behind them. There are glaring issues that become even further prominent on a repeat viewing, but frankly I don't even care, I'm just riding the kick."
Aloha (2015),"Remove Bill Murray and some of the other military subplot and this isn't bad at all. There are some interesting dynamics explored, and the screenwriting isn't nearly as bad as people make it out to be."
Steve Jobs (2015),"It's a rather risky choice to make a film about one of the most influential people in the history of technology and not mention what is largely considered to be his magnum opus of innovation, the iPhone, but Boyle's risk very much pays off here. Instead, Steve Jobs focuses on the man behind the marketing, and the people he strings along on his journey towards legacy. Aaron Sorkin delivers a script possibly sharper than this film's cousin, The Social Network , resulting in moments of performance like a glorious operatic crescendo from Fassbender, Rogen, and Daniels."
Oppenheimer (2023),"""Prometheus stole fire from the gods and gave it to man. For this he was chained to a rock and tortured for eternity."" I don't think I've ever gone back to the cinema to watch a film I had already seen so soon after having seen it the first time until now. Until Oppenheimer . The grand ferocity with which Ludwig Göransson's score elevates each and every element of this film is dumbfounding. The sequence from the test explosion at Los Alamos, to the rally scene, to the meeting with Truman is the very definition of cinematic perfection, and just those 20-30 minutes capture the essence of entire film with such brilliant vision. It's just insane that Truman's comments on Oppenheimer in the film are an almost lessened version of what he said in real life. He very much did call him a ""crybaby scientist"" as the film depicts (not to his face admittedly) but subsequently when referring to Oppenheimer's comments about the blood on his hands, he said, ""Blood on his hands, dammit, he hasn't half as much blood on his hands as I have. You just don't go around bellyaching about it."""
Red Eye (2005),I saw the hockey stick coming from the very first moment of the film and it was still cathartic as hell. Also pretty funny that I coincidentally watched this after having seen Cillian Murphy in Oppenheimer twice recently. Just such a strange shift in performances but both still very much enjoyable.
Cast Away (2000),Zemeckis giving me more reasons to think that Back To The Future was a fluke.
Babylon (2022),"I'm so glad I watched this in the cinema when I did because I don't think much could have replicated the mix of adrenaline and euphoria I felt during the ending montage. Seeing it again, I feel like I can double down on the fact that it's definitely a messy ending and many of the characters' storylines aren't resolved in quite the way I would've liked, but regardless, there's not much out there that can make me feel as transported and immersed as Chazelle's work does. The first act will remain one of my favourites ever."
Elizabethtown (2005),"Cameron Crowe's movies are so incredibly kitschy and corny but it just works so well for me. Elizabethtown is pretty messy tonally because I feel like it simultaneously tries too hard to be funny while being absolutely hilarious in moments that feel like Crowe was aiming to be sincere. Nevertheless, between Crowe's trademark indie-pop/rock soundtrack, and Orlando Bloom and Kirsten Dunst's undeniable charm, Elizabethtown proves to be an eagerly fun time."
Blackhat (2015),A 71 year old Michael Mann directs the shit out of this cyber-crime romance espionage thriller with some sublime handheld camerawork and a tightly paced story.
Hannibal (2001),"This actually starts off pretty well and I quite enjoyed most of the parts that took place in Florence. However, everything besides that becomes shockingly boring with some technical flaws all over, and simply the lack of tension. It was always going to be a difficult task to follow on from Demme's heralded The Silence of the Lambs , and for the most part Julianne Moore does okay replacing Jodie Foster but it never quite feels the same. Gary Oldman as Mason Verger was a welcome addition though, and his performance excels through the practical effects. Of course, Anthony Hopkins is still spectacular, although seeing much more of him does lessen the impact of his terror, but it's understandable why he wasn't used as sparingly as in this film's predecessor."
Sing Street (2016),Eamon carried.
An American Werewolf in London (1981),"""I will not be threatened by a walking meat loaf!"" ""I didn't mean to call you a meat loaf, Jack!"" The contrast of some of the best and most terrifyingly grotesque practical effects I've seen with a random hilarious one-liner makes An American Werewolf in London so much fun to watch. The fact that Landis can combine some truly scary sequences with some brilliant dark humour makes this infinitely more entertaining, and it is understandable why this is so beloved."
Miami Vice (2006),"I'm not sure I understand or will ever understand Miami Vice to its fullest. But I'm not sure I want to either. What Mann has created here is this masterful enigma of mid-noughties zeitgeist, capturing an era of digital decadence from Nokia flip phones to fax machines. It's a time when the majority of crime began to shift into a space that neither criminals nor law enforcement had navigated before: the online world. Through flashes of exposition basking in the nocturnal allure of Miami's skyline, we follow the story, somewhat incongruently, as our protagonists push forth with reassuring confidence. While Blackhat examined the movement into the digital age at a time when the reshaping of the landscape was in full effect, Miami Vice exists in a time just before that- the transitional period where it felt like anything could happen. So our uncertainty with the narrative feels reciprocated through Mann's direction, as he reassures us that it's not something to be understood in its entirety just yet, and so we cruise along for the ride anyway."
In the Heat of the Night (1967),My first of Sidney Poitier's work and what a powerhouse performance to start with. Can't wait to watch more from him.
Ali (2001),"In the first 10 minutes of Ali , we see everything about the man we come to know as Muhammad Ali- from a little boy walking to the coloured section of the bus and seeing a newspaper article about the brutalisation of Emmett Till, to one of the most prolific athletes of all time. We see him denounce his so-called 'slave name', Cassius Clay, and go on to preach pacifism through both his religion and conscientious objection. Mann so often explores the lives of extreme professionals in their craft, and so it's interesting here to see how often Ali deviates from a path he sets so clearly for himself. Mann constantly makes the viewer question how a man so devoted and focussed in his belief in both himself and God could be both a pacifist and a boxer, and also loyal to God but not to his wife. For someone so driven by honour, how come he so often falls into hypocrisy? All these questions posed and answered in just 10 minutes of blissful filmmaking. However, it's beyond that where Ali starts to lose steam. Sure, there are parts, particularly the bits that take place in Zaire, that feel like Mann is trying to get at something more profound here, and while Smith's performance is impressive, it never quite reaches the levels required to make a scathing remark on this man of legend. There's so much that remains to be said about this man who essentially wove himself into the fabric of mythos, but by the end, unfortunately, much of it remains unsaid. There are many moments that feel poised to delve into Ali's psyche, but they never end up scratching much deeper than the surface."
Mirror (1975),"Some say that when you die, you see flashes of your life pass before you in a random fashion, as you catch glimpses of the person you were. In many ways, Tarkovsky's Mirror feels like that: like you are cast adrift in a sea of fragmented memories. Through Tarkovsky's lens, past and present become a blurred vision of both his and our experiences. From this disjointed narrative, he holds a mirror to our collective consciousness, as we both look back on not only our lives, but the lives of the people we affected. Mirror is largely known as one of Tarkovsky's most challenging works to understand, and I knew that going into it. But if you try less to understand and more to just feel, it becomes much clearer what Tarkovsky aims to achieve here. And by the time the film fades to black, we feel the catharsis of having looked back at every misstep, every wrongdoing, every success, every opportunity, and every moment of what makes life what it is."
Paths of Glory (1957),"It's an almost insurmountable task- nearly as insurmountable, perhaps, as The Battle of Anthill itself- to definitively declare which of Stanley Kubrick's cinematic masterpieces has left the most indelible mark on culture, both relating to film and not. Paths of Glory is utterly hypnotic, not simply due to its aggressive anti-war sentiments, expert weaving of dark comedy, or Kirk Douglas' commanding performance, but because of how pertinent its themes remain to this day."
Thunderbolt and Lightfoot (1974),"Jeff Bridges and Clint Eastwood are an unexpectedly awesome duo in this. My first of Cimino's work, and wow what a strong debut this is. The buddy road trip turned off-kilter heist is done so effectively because there's no need for any personal motive than to just have fun and get rich. It's straightforward but so wonderfully executed at the same time."
Ratcatcher (1999),"Immediately after I watched Ratcatcher , I found myself to be a little conflicted as there were parts of the film I absolutely adored such as the contrast in imagery from the greys and whites of the Glaswegian squalor, to elements and images that felt so elusive and fantastical. But then I felt there were parts that I felt a total disconnect from the rest. It wasn't until I watched two of Lynne Ramsay's interviews, around 20 years apart, that it all clicked for me. She described the film as this sort of ""dystopian fairytale"". While there are parts that clearly try to emphasise the deprived nature that these people were living in, she makes it clear that it wasn't the intention to confine or label the film as an attempt to capture a portrait of this late 20th century poverty, as it was just what the world was like for her when she grew up. As a kid, you make do with what you have, but you always hold out for that hope of more. It's something that feels like a shared quality with Sean Baker's The Florida Project, especially when James visits the unfinished house and steps through the window into this everlasting wheat field where it feels like time moves in slow-motion (like many of the inspired shots across the film do). Lynne Ramsay, having first started out as a painter then a photographer before venturing into film, so very clearly understands the power of a still image, with prolonged moments without any dialogue conveying so much while saying so little. Small, intimate moments where a character interacts with another, perhaps even without acknowledgment from the other, where nothing needs to be said as you can already feel it. It's a pretty genius move, likely due to financial reasons but nevertheless, to cast both professional and non-professional actors in the roles, as it adds a whole different layer of naturalism that I feel that you wouldn't get otherwise. It feels like these streets, littered with rotting waste and scurrying rats, have actually been lived in because that's exactly true. The dystopia is what allows for the fairytale to exist, as one could not exist without the other."
Still Walking (2008),"I read somewhere that making films about death that feel honest and authentic is one of the most difficult things a filmmaker can undertake. After all, how do you direct the absence of something? Hirokazu Kore-eda answers that question through his gentle and warm filmmaking, where it feels like anyone can place themselves into any one scene and watch, like a (butter)fly on a wall, as if a memory was taken from their mind and played out in front of them. There was so much in Still Walking that reminded me of my grandparents, and my parents too for that matter. All the constant bickering about nothing in particular because they were never taught any better way to express that they care for one another. All the care and love that's put into food with these preparation rules-of-thumb that are passed down by the generations before. All these snide comments made behind someones back, or even to their face, that just make you want to crawl up into a ball of shame on their behalf. It's a mix of all these small, seemingly inconsequential details that make Kore-eda's films so incredibly special to me. ""They say butterflies that survive the winter come back yellow the following year"""
Lost Highway (1997),"Doesn't quite hold the same emotional depth as some of Lynch's other work like Mulholland Drive or Blue Velvet , but there's something about the balls to the wall approach Lost Highway employs that you really just have to respect. It's so punk-rock beyond just its killer soundtrack, and the sultry audiovisual labyrinth that Lynch loses you in is so bewildering to navigate. While I was impressed by the nightmarish nature of the first act, especially when it came to the sound design, it almost felt like Lynch was trying a bit too hard here, and it ended up feeling like a lesser version of Haneke's Caché. Past that though is where Lost Highway really kicks into second gear, with the looming shadow of horror still ever-present, though now astutely supplemented by Lynch's unconventional humour, which makes the experience all the more compelling. As for performances, Patricia Arquette and Bill Pullman are fantastic, but it's Robert Loggia who steals the show with his over-the-top demeanour and enigmatic motivations."
Showgirls (1995),"My first Verhoeven film, and as many so often say, this is most definitely an over-hated gem. The glitz and glamour contrasted with the grime and sleaze of Vegas is portrayed magnificently. The film is visually stunning, and while it does peter out a little towards the end, it's still so well crafted."
Harakiri (1962),"There's a level of cultural resonance Kobayashi achieves here that I'm not sure I've ever quite seen before. For a film that's over 60 years old, its scathing remarks on the hypocrisy of political systems are as relevant as ever in the modern day. Couple that with Kobayashi's meticulous eye for composition, which makes every frame of this film, seeped in the viscera of retributive blood or not, pure artistry to behold. Harakiri is not simply a film that stands the tests of time; it's one that grows and evolves along with it."
Slacker (1990),"Before it was revealed that it was the exact concept for the film, I had randomly thought during the start of Slacker that it would be a cool concept for a film to continually follow on from one of the characters in the scene, constantly moving and changing perspectives, and that's exactly what Slacker was. Although in execution rather than theory, this is a much more difficult thing to pull off (especially since my first thought was to stitch the whole thing together to look like it was shot in one take), and I often found myself uninterested in some of the conversations while captivated by another. I suppose that's both the benefit and drawback of having such short interactions with these characters. It's about as slice-of-life as slice-of-life gets- thinly sliced at that, which makes it all the more impressive with how much depth Linklater manages to instil in some of these characters in such a short time. Parts reminded me of those random drunk conversations you'd have during the come-down from a party, just rambling on about existence and our place in the universe, all those words lost to the haze of time and drunken memories."
The Apartment (1960),"It's easy to take for granted just how brilliant The Apartment is. It's simple, but it's written so impeccably and the dialogue is so clever that it makes it all worthwhile. I think many people will and have called this overrated (I hate using that word), and I felt that myself a little in the middle, but you then realise by the end just how much Wilder gets right here. It's small-scale and there's not a singular, monumental, iconic shot that's been lauded a classic, but over the whole film, there's not one moment where I thought, ""That could have been done better,"" or ""The writing was a little messy there,"" or ""That wasn't edited very well."" Just really, really solid direction and execution throughout."
Code Unknown (2000),"There's so much I absolutely adore about Haneke's style of filmmaking, both here and across his whole filmography. I don't think I'd be preemptive in saying that he's one of my favourite directors. Taking that into account, it pains me not to have rated this higher. There are real shades of masterwork all over Code Unknown; from the way it looks at the immigrant experience alone, you can see the deep empathy Haneke exudes through the camera, a much different disposition than his other films which seem to have the exact opposite quality. Yet he still manages to expertly contrast that with his precise, almost documentarian style filmmaking. Unfortunately, beneath all these brilliant ideas and techniques lies a pretty disjointed narrative, one that makes it difficult to truly grasp all of the emotion that Haneke is vying to portray. Its anthological structure works in parts, but I almost wish that it had dissipated as the film went on, highlighting how wildly different these strangers lives and struggles are, but by the end, noting that perhaps their struggles aren't so different after all."
Three Colours: Blue (1993),"Sometimes a feeling can be so overwhelmingly powerful that we think the only remedy has to be to invoke the exact opposite- to feel nothing at all. It's not until we set out on this hapless quest do we realise that it's impossible. Even when it feels like we're drowning in a boundless sea of blue, our bodies force themselves to the surface in a desperate attempt to cling to life, when it seems like there's nothing left to live for."
Hiroshima Mon Amour (1959),"""Some years from now, when I have forgotten you and other romances like this one have recurred through sheer habit, I will remember you as a symbol of love's forgetfulness. This affair will remind me how horrible forgetting is."""
The Last Emperor (1987),"There are many gripes to be had over The Last Emperor, my first of which is why this wasn't just in Chinese, particularly due to some of their weird dubbing at the start. However, many of the rest of these gripes are simply offset by the utter grandeur of its design. The set design is immaculate, but what's even more impressive is that so much of this was shot on location. The feeling of historical importance is something that really comes across here, especially when Bertolucci makes sure to measure the scale up to that of an epic; however, its lack of resonance with its characters is something that does fall short of the mark. There's too much focus on these insignificant character moments, especially in the tiresome first act. As such, it's difficult to empathise with the gravity of things going on, which, for a historical epic where the weight of decisions and choices are amped up to the max as we follow characters through what is essentially their entire lives, seems like such a simple misstep. When you look to something like Schrader's Mishima: A Life in Four Chapters , characterisation still takes a backseat to the audiovisual experience, which is second-to-none, and yet we still see so much of what makes and drives this politicised figure. In much the same way, the gorgeous visuals and triumphant score provide a backbone for The Last Emperor, but it suffers from the lack of support that the little moments of emotion can bring amidst all the drama. I suppose it's somewhat ironic of me that I wish Bertolucci spent less time on insignificant moments and more on moments that seemed insignificant."
Hardcore (1979),"Feels a bit like Paris, Texas 's depraved cousin."
Bad Times at the El Royale (2018),"I feel like Bad Times at the El Royale is about a draft of the script and some editing down to make it more tightly paced away from being absolutely awesome. The performances are largely fine, although I just can't escape from the fact that it just feels like Drew Goddard thinks he's doing more than he really is."
eXistenZ (1999),"Expected this to be a bit like Total Recall and it pretty much was. Awesome practical effects to be expected from a Cronenberg film, but also a fun campiness and a bunch of meta elements too."
The Lost Boys (1987),"The last act of this is so fun and wacky, I just wish the rest had been the same. For something that's only 97 minutes, it's not nearly as tightly paced as you'd think, which hinders it slightly, and it could have done with a bit more world building too. The soundtrack was pretty great though, although I wish there was more of it."
Beyond the Hills (2012),"You often see these stories about convicts who were falsely imprisoned for crimes they didn't commit, with the bulk of their lives being stolen away for something that wasn't even their fault. It's an inherently broken system of justice, not too dissimilar to the laws dictated within religion. There's a link between this idea and the way Mungiu presents religion in Beyond the Hills . It's something that is bestowed upon someone simply by chance, and in some cases, it can restrict the person's ability to live and act freely as they wish. Within this microcosmic commune, Mungiu deals with this oppressive evangelist approach to religion, but does so in such a way that doesn't feel overly accusatory. It's easy to forget that this is based on a true story at times, because each scene seems so meticulously crafted in such a way as to make this viewpoint come across. It's utterly terrifying just how bleak this is, especially when a place so committed and devout to following their dogmatic teachings of love and compassion is totally blind to the fact that they're doing the exact opposite. It's a very scary thing to see that the institution that is supposed to epitomise the moral standard deviates from it so often, a trait that isn't limited to religion alone. As depressingly sobering as this film can be, it also finds its share of satire amidst its cold backdrop. And I suppose there is humour to be found in my aggressively anti-religious takeaways from this film, even though it really isn't leaning that far towards either side of that spectrum. Circling back to my initial analogy, perhaps Mungiu's perspective here is more akin to criticising the system than the individual, and yet, there's no justice for those who choose not to subscribe to these beliefs."
Summer of Sam (1999),I think a lot of movies would be better if they had a talking dog voiced by John Turturro.
Déjà Vu (2006),"I couldn't decide whether this was awesome or the dumbest thing I had ever seen during a moment when I had to actively stop myself from unconsciously finding plot holes in this film. However, around the point of the third, I realised that the criticism that Déjà Vu faces is probably the epitome of the 'CinemaSins-ification' of movie watching, and that's frankly the most boring and, for lack of a better word, pretentious way of experiencing a film. That's not to say that Tony Scott's 2006 sci-fi thriller is free from issues besides that; in fact, it's rife with stylisation choices that felt over the top for something that was already so over the top, and it's paced in such a way that it makes the film feel much longer than it is. I've sort of lumped a lot of these similar films in Denzel's catalogue into one heap in my brain, but I thought it was about time that I actually watched one of them and decided for myself whether they're worth the merit they receive, often as so-called 'underrated gems' from the mainstream audience. For now, I'm on the fence."
Me and Earl and the Dying Girl (2015),"I can imagine your enjoyment of this is directly proportional to the amount of film references that you can understand. Fortunately for me, I got about 75% of them. Need to watch Fitzcarraldo though."
Asako I & II (2018),"There's a lot I want to say about this film, but I think I'll save it for when I eventually rewatch it or I watch another film in Hamaguchi's filmography that reminds me of this. It sort of showed me that I still have some maturing to do as a film watcher in order to fully grasp why filmmakers decide to depict fundamentally flawed characters in a way such as this. It takes a level of emotional intelligence to move past resentment towards a character so that you can fully understand their motivations, but I don't think I'm quite there yet. Could quite easily be a formative five-star rewatch for me in time."
Speed (1994),Connor Roy was interested in exploding buses at a very young age.
Inland Empire (2006),¿
Tokyo Twilight (1957),"It's an unfortunately common thing for people, particularly men from an older generation, to lie and withhold from those closest to them as a means to uphold reputation and save face. As if the way you come across is more important than how you actually are. It's a pretty substantial factor in why men find it so difficult to open up about their emotions, because it then detracts from this idealised version of themselves they were told to protect since they were a boy. It's something that I've tried to work on myself, especially when growing up in an Asian household, it's not something that's typically talked about. But ultimately, feeding this taboo and harbouring feelings not only damages your own mental health, but alters the way those around you perceive their own relationships. By striving to protect this idea of civility and strength, you end up enforcing the opposite. What Ozu does here with masterful static imagery is allow us to see how each moment of empty conversation, which masks any possible intention of care, can be like a dagger to the heart. While living with the truth can sometimes be just as hard as living without it, it's unfair to just assume that ignorance is bliss, because it can stop us from ever truly knowing ourselves, forcing us to be even lonelier than we already were."
Rosemary's Baby (1968),"Maybe I missed the boat on Rosemary's Baby , but while the performances from Mia Farrow and John Cassavetes do impress, the story is just a little weak. I just didn't feel the tension or at any point believe that Rosemary was insane for what she was thinking. I mean she essentially gets raped by her husband and I'm supposed to believe this is just some stand-up guy? It's like Polanski succeeded in gaslighting Rosemary but not the audience. Then once again by the end, there's no ambiguity or mystery that actually makes it feel all that scary, everything just gets told to you. Perhaps I'll revisit this in time, but I just don't see the makings of a horror classic besides the nightmare sequences maybe."
The Descendants (2011),"Alexander Payne, Cameron Crowe and Jason Reitman all make these different movies in the same font and I love them all. It's also pretty cool that this is the movie that Jim Rash (alongside Faxon and Payne) won the Oscar for Best Adapted Screenplay for. I really like George Clooney in these little family dramas, I wish he was in more of them because he actually has some acting chops but hardly ever showed them off."
Certain Women (2016),"Watched this mainly for Lily Gladstone as I'm finally going to see Killers of the Flower Moon on Saturday, and I'm glad to say her segment was probably my favourite. I always have a hard time emotionally connecting to anthology films, as while they can share thematic elements across the stories, they often feel too disconnected for me to fully invest myself in the narrative, and unfortunately that applies here. While I do adore the quaint 16mm cinematography, Certain Women just doesn't add too much more to the stories themselves where it feels like the film is doing more than just telling. The best kinds of quiet storytelling in film fill in the gaps between the sparse dialogue with this almost personification of the landscape; the location itself needs to feel like a character where you can funnel that emotion through, something that's particularly pertinent in Lee Chang Dong's Secret Sunshine , but that just doesn't quite come through here. It's not necessary for anthology films to have some kind of bow to wrap the whole story together with, but Certain Women could have certainly benefited from a slight bit more cohesion to justify just what Reichardt is trying to say here."
End of Watch (2012),"End of Watch is a buddy cop action/drama filled to the brim with melodrama and enough copaganda to keep your average ""blue lives matter"" folks entertained. It's all filmed pretty horribly with David Ayer making the decision to capture most of it handheld, a choice which the main character justifies by saying he's doing a filmmaking course while also being a cop which may be one of the dumbest narrative decisions I've seen. The performances are largely fine, if not hindered by the aforementioned melodrama used to spruce up an otherwise half-baked script, but I enjoyed the chemistry between Gyllenhaal and Peña. I'm starting to think I just really don't get on with David Ayer's work or at least his narrative choices because it feels like he made this film with all the wrong intentions in mind as to what its message is supposed to be. There's no empathy for the victims, and ethnic minorities are all painted with the same brush. It's frankly borderline manipulative, especially nearing the end. If there was more of a criticism regarding these cops lack of care for some of these vulnerable people, attributing it to some sort of larger systemic issue of power as Fuqua touches on in Training Day as this seems to want to emulate, then I'd feel much more sympathetic to its lacklustre direction, but I suppose those things would go hand-in-hand."
The Night House (2020),"It's largely fine, some of the scares are pretty inventive but the grief-stricken widow horror movie trope is starting to get really boring for me."
Breaking the Waves (1996),"I would be lying if I said I wasn't curious about Lars von Trier as a filmmaker. His ideology, beyond just that of his patented Dogme 95 filmmaking, always seems to burst the seams of his films, for better or worse. As much as it can get tiring, I really do think his style works best when coupled with his periodically scintillating dark humour, but in the case of Breaking the Waves , that is nowhere to been seen. It's a deeply mean film, and I don't mean that in the way that means all it's characters are evil, but it does feel like we, alongside them, are punished for trying to find joy amidst the despondent atmosphere. The film tries to examine the cost of being selfless in love, be that towards one's partner or to their religion. To give oneself so wholeheartedly to others and for that naïveté to be punished or taken advantage of. It's intensely cynical, and that comes across in the filmmaking too, and while Emily Watson does give a stellar performance, it's held back by the fact that's she's never able to feel true happiness."
Citizen Kane (1941),The cockatoo scared the shit out of me I can't lie.
Laura (1944),Starting Noirvember off with a pretty good one. Let's hope I don't forget about doing this after a week.
Detour (1945),"Not a massive fan of the amount of narration used in this, but I suppose that's to be expected for a film that's only 68 minutes long. I've also started to notice a lot of these noirs end pretty abruptly, which is something that might take some getting used to. Other than that, I quite enjoyed this, particularly the second half."
Bottoms (2023),"Absolutely adore how completely off the rails this went. Duo of Emma Seligman and Rachel Sennott remains undefeated, even though I do largely prefer Shiva Baby , but adding Ayo Edebiri to the mix is only gonna make things better."
The Lady from Shanghai (1947),"No idea what Welles is doing with his accent here, but other than that The Lady from Shanghai is pretty spectacular. I mean, what a thrilling conclusion that was. Stellar camerawork and phenomenal visuals. The plot is kind of convoluted and hard to follow, but that's part of what made this so enjoyable to watch, especially when you factor in the decision to end it in a fun house- that's such a clever choice. I know I've not seen many, but this may be my new favourite noir."
Indiana Jones and the Kingdom of the Crystal Skull (2008),"Indiana Jones and the Kingdom of the Crystal Skull feels like Spielberg's stab at an Alien movie, and oftentimes this movie can feel more like a movie from that series than this one. Hell, he even casts John Hurt if the comparisons didn't draw themselves already. As such, it loses much of that adventurer charm that the earlier movies had, and while I actually did rather enjoy the first act of this (yes, even the nuclear blast fridge), as soon as Shia LaBoeuf's character gets introduced, I lost most of my interest. He just has nothing to do the entire film, and simply serves as a constant reminder of this attempt at a successor to Indy that we know from the Dial of Destiny releasing never came to fruition."
Panic in the Streets (1950),"Refreshingly modern, but ultimately rather uninteresting as the plot seems to dwindle in circles too much. Panic in the Streets mostly doesn't feel like the conventional film noirs I've been watching, which was a welcome surprise, but left it feeling a little too empty. I think I'll probably enjoy the rest of Kazan's work more."
Secrets & Lies (1996),"Brenda Blethyn's performance in this is probably now one of my favourites ever, as is Timothy Spall's. What an emotionally gut-wrenching film."
The Lodger (1944),"It'll be interesting to see if I prefer this version or Hitchcock's more. Some really cool shots, but some rather lacklustre performances."
Diabolique (1955),"A little too slow for me, but still really enjoyed this, especially those last 10 minutes."
Men in Black (1997),Arguably the greatest credits song of all time.
Stranger Than Paradise (1984),"For a while now, I've held an interest in the American neorealist sub-genre as a sort of precursor to the more modern mumblecore cinema. It provides a station for which filmmakers such as Jarmusch can express the mundanities of everyday life in a way that feels like a reflection of the viewers' feelings when watching it. In Stranger Than Paradise , we feel like a fish out of water in the same way that this Hungarian émigrée does, as between each fading transition between the one-take scenes, we're equally thrown into a new environment, forced to confront the unknown surroundings. It's not a film that particularly aims to highlight the indigent nature of its protagonists, as Jarmusch recognises that that is just part and parcel of life, and instead it focuses on the the ennui of this coming of age story which so often perforates the film's surface in much the same way as Sean Baker and Shih-Ching Tsou's Take Out . It's monotonous and filled with things left unsaid, just like real life, and I suppose that's the reason I find myself gravitating towards this style of films so much because instead of acting as a form of escapism, it serves as more of a reminder that life can often follow a predictable path, where things can seem to feel and look all the same, and while breaking apart from that cycle is difficult, it's also necessary if you actually want to live."
The Bitter Tears of Petra von Kant (1972),"""You're with someone in a car or in a room and you want to say something, but you're afraid. Or you'd like to be affectionate but again you're afraid. You're afraid of losing points, of being the weaker one. It's a terrible moment when you can no longer go back and start again."""
Sicario: Day of the Soldado (2018),"Sicario: Day of the Soldado was realistically never going to reach the heights of the first after losing both Deakins and Villeneuve- two vital components of what made the first film so great. It's much more on the nose than the first, likely due to Sheridan- one of the few things that was retained from Sicario - wanting to make a substantial enough deviation from the predecessor so that this has its own distinct feel. While it does house some rather exhilarating set pieces, they never seem to accomplish the same impact as before. It's more rigid politically in comparison to the morally grey area that the first film spends much time around, which works in a way that it does feel assured of itself, but the film ends before it can ever reach a real conclusion to these themes. Benicio Del Toro and Josh Brolin remain a powerful duo, but losing the dynamic of the inexperienced rookie in Emily Blunt and lazily trying to recapture that with a one-sided mismatch in Isabel Merced offers little to nothing. It very much feels like the El Camino to Sicario 's Breaking Bad- a subpar and unnecessary epilogue that leaves you with more questions than answers."
Elevator to the Gallows (1958),That Miles Davis trumpet score was majestic.
Belly (1998),"Many of the films that were released approaching the turn of the new millennium share this same nihilism about the future that Hype Williams' Belly has. It's like this time capsule of 90s hip-hop culture, with every neon-dipped, low-angled shot reminiscent of all the iconic music videos from Biggie to Missy Elliott that Williams had a hand in, so assuredly capturing the vérité of that hood lifestyle. While you can feel its $3 million budget slowly dwindle away as the film progresses, using the bulk of it to shoot what is probably one of the best opening sequences ever put to film was sincerely no mistake."
On the Silver Globe (1988),"""The shooting of On the Silver Globe was halted in the spring of 1977. All the sets and costumes needed to complete the production, which began two years previously, were ready and waiting in Wrocław, Lower Silesia, the Masurian Lakes, and the Caucasus Mountains. All of these sets, costumes and props were destroyed. For many years, the film technicians, wardrobe-dressers and set-builders, stashed whatever they could, in studio recesses and their own homes. I am thinking about them as I finish this film, believing that the small drama of this film and the larger and more noble drama of our lives will continue to interweave into a web of triumphs and failures. My name is Andrzej Żuławski, I directed On the Silver Globe"" Only 80% of On the Silver Globe exists today. The rest was either destroyed or never able to be filmed as the Polish government deemed it to be critical of Poland's communist regime. Eventually, shortly prior to the democratisation of Poland, On the Silver Globe was released as a sort of cut down version of what it was originally meant to be, with Żuławski himself narrating of pieces of the lost narrative. In some way, this turbulent backstory only serves to highlight the importance of freedom, a fundamental principle of which Żuławski explores so much in this film. It's this context, this missing 20%, which led to this philosophical odyssey being heralded as one of the greatest sci-fi epics ever put to screen. There exists a certain arrogance in the personification of divine concepts. Mother Nature and Father Time. Is it familiarity we seek, or is it simply putting a face to what we are instinctively led to kill and subsequently worship? As Nietzsche so famously said, ""God is dead."" If God was a mortal man who lived and died among us, what does that mean for our ideology? Even if we hold no knowledge of the past, is history still doomed to repeat itself? Through all this war, rising from the ashes of a broken society, religion is formed purely out of necessity, not desire; a body to lend our countless unknowings to. But is it truly freedom if it's born out of fear, or is it simply an instinct- an innate craving to just survive."
Gone Girl (2014),"Watching this again almost ten years on and only now noticing that this is probably Fincher's funniest film. I mean, just the face on Ben Affleck when he says ""I know this one!"" is hilarious. Also Laray Mayfield needs a raise for some of the best casting ever (and this extends to The Social Network too) because Rosamund Pike, Ben Affleck, and Neil Patrick Harris are such genius decisions for these roles and are 90% of what makes this film so good."
Into the Wild (2007),"Into the Wild works best when it's simply just a road-trip travel movie about appreciating the small things in life we take for granted, and I definitely have a soft spot for films that make me just want to ditch everything and travel the world. But when Penn delves into this pseudo-intellectualist pastiche of Malick and shoehorns in a ton of religious imagery and symbolism, the film becomes unbelievably grating. There's definitely a good film in here somewhere, mostly in the interactions with the side characters, but you'd need to shave around a lot of that mess for it to begin to rear its head."
Jane Eyre (2011),"Coming off the back of watching True Detective season one, which many consider to be Fukunaga's opus, to watching this feels like a refreshing deviation from what was expected. That's not to say that both projects don't share the same liberal usage of wide shots over a vast field that Fukunaga loves so much, but it's nice to see where he was at before that point. Period dramas can often become overly melodramatic and bland with their antiquated speech and unvarying shot compositions. However, Moira Buffini's script makes the dialogue feel real instead of like a theatre piece, much of those complements carrying over to Mia Wasikowska and Michael Fassbender's performances as well, the former of which I wish was in more starring roles, and Fukunaga's camerawork remains interesting throughout, capturing some gorgeous naturalistic visuals on 35mm."
"That Day, on the Beach (1983)","Absolutely insane to me the level of cinematic maturity and emotional depth of characters in Yang's early work. He really was one of the greatest to ever do it. I have so many thoughts, but I think I'll leave them in my mind as just thoughts, and instead simply reiterate how much I loved this."
